company_name,title,location,remote_policy,contract,salary_min,salary_max,seniority,job_type,stack,description,url,publication_date
Euro-Information,Analyste développeur .Net C# / SQL (H/F),Strasbourg,hybrid,CDI,35000,55000,confirmed,fullstack,"C#;.NET Core;ASP.NET;SQL Server;Angular;API REST;Git;OpenShift;Helm;OWASP","Conception et développement d’applications web, web services et API REST bancaires à forte charge, de l’analyse au déploiement.",https://www.e-i.com/fr/nos-offres/offre.html?annonce=104906,2026-06-15
Euro-Information,Analyste développeur (F/H),Strasbourg,hybrid,CDI,38000,42000,confirmed,backend,"C#;.NET;MS SQL;COBOL;DB2;JCL;Windows Services;Monétique","Développement et maintenance d’applications monétiques et de télépéage, avec analyse fonctionnelle, spécifications, tests et mise en production.",https://www.e-i.com/fr/nos-offres/offre.html?annonce=114052,2026-06-15
Euro-Information,Analyste développeur confirmé - Parcours de recherche et d'assistance (H/F),Strasbourg,hybrid,CDI,38000,45000,confirmed,software_engineer,"C#;.NET;SQL Server;Git;GitLab CI/CD;Tests unitaires;IA","Évolutions fonctionnelles et techniques d’applications IA assistant/parcours de recherche en mode Scrum, avec support production et qualité/sécurité.",https://www.e-i.com/fr/nos-offres/offre.html?annonce=95827,2026-06-13
Euro-Information,Responsable d'équipe - IA Générative pour l'informatique (H/F),Strasbourg,hybrid,CDI,45000,60000,manager,engineering_manager,"IA générative;Machine Learning;Deep Learning;Agile;Data Science","Management d’une équipe en charge de projets d’IA générative pour faciliter conception, qualification et développement au sein d’Euro-Information.",https://www.e-i.com/fr/nos-offres/offre.html?annonce=104853,2026-06-13
Euro-Information,Responsable d'équipe (F/H) - Informatique - compensation de cartes,Strasbourg,hybrid,CDI,45000,60000,manager,engineering_manager,"Monétique;Cartes bancaires;Visa;Mastercard;CB;Systèmes bancaires","Management d’une équipe de développement sur des systèmes de compensation de transactions cartes dans un contexte bancaire critique.",https://www.e-i.com/fr/nos-offres/offre.html?annonce=107598,2026-03-16
Sopra Steria,Développeur(se) Senior - C# .NET - Services Financiers - Strasbourg,Schiltigheim,hybrid,CDI,,,senior,backend,"C#;.NET;Agile;Finance","Développement et évolution de solutions C#/.NET pour clients bancaires et financiers, avec implication sur conception, développement et expertise technique.",https://careers.soprasteria.com/job/developpeur-se-senior-c-net-services-financiers-strasbourg-in-schiltigheim-france-jid-278,2026-06-05
Sopra Steria,Développeur/se .net - Industries et Services - Strasbourg,Strasbourg,unknown,CDI,,,confirmed,software_engineer,"C#;.NET;Agile","Développement de solutions .NET pour projets de transformation digitale dans un contexte industries et services.",https://careers.soprasteria.com/job/developpeur-se-net-industries-et-services-strasbourg-in-strasbourg-france-jid-1150,
Capgemini,Tech Lead C# .NET,Schiltigheim,unknown,CDI,,,lead,tech_lead,"C#;.NET Core;React;Scrum;SAFe","Lead technique C#/.NET avec accompagnement d’équipe, participation aux choix techniques et contribution aux pratiques agiles.",https://careers.capgemini.com/job/Schiltigheim-Tech-Lead-C-_NET/1281469801/,
Open,Concepteur Développeur C# .Net Confirmé H/F,Schiltigheim,hybrid,CDI,,,senior,software_engineer,"C#;.NET;SQL Server;Agile;Scrum;Tests;Architecture","Conception et développement d’applications C#/.NET en équipe agile, avec analyse de l’existant, architecture, tests et documentation technique.",https://www.welcometothejungle.com/fr/companies/open/jobs/concepteur-developpeur-c-net-confirme-h-f_schiltigheim_OPEN_yRDX1x9,2026-06-02
Socomec,Ingénieur cybersécurité produits F/H/X,Benfeld,hybrid,CDI,,,confirmed,product_security,"Cybersécurité;ISO 27001;CRA;IoT;Cloud;Analyse de risques","Contribution à la cybersécurité des produits connectés industriels, avec analyse de risques, conformité et accompagnement des équipes software.",https://www.welcometothejungle.com/fr/companies/socomec/jobs/ingenieur-cybersecurite-produits-f-h-x_benfeld,2026-06-09
Socomec,Ingénieur développement software full stack F/H/X,Benfeld,hybrid,CDI,,,confirmed,fullstack,"Rust;C#;Java;C;C++;TypeScript;Angular;Linux;IoT;Edge;Cloud;CI/CD","Développement d’applications full stack pour solutions IoT, Edge et Cloud industrielles, avec dashboards et architectures distribuées.",https://www.welcometothejungle.com/fr/companies/socomec/jobs/ingenieur-developpement-software-full-stack-f-h-x_benfeld,2026-06-09
Socomec,Ingénieur développement software front-end IOT F/H/X,Benfeld,hybrid,CDI,,,junior,frontend,"TypeScript;Angular;IoT;Edge;Cloud;DevOps","Développement front-end pour solutions IoT industrielles, avec contribution aux interfaces et outils de supervision connectés.",https://www.welcometothejungle.com/fr/companies/socomec/jobs/ingenieur-developpement-software-front-end-iot-f-h-x_benfeld,2026-06-09
Hager,Software Lead Developer Back End H/F/X,Obernai,hybrid,CDI,,,lead,tech_lead,"Backend;.NET;Azure;Terraform;IoT;Cloud;Agile","Lead back-end au sein de la Connected Software Factory, avec pilotage technique d’une petite équipe et rôle clé sur une plateforme IoT stratégique.",https://careers.hager.com/en/job/obernai/software-lead-developer-back-end-h-f-x/3352/39122956416,2026-06-02
Hager,Product Cybersecurity Manager H/F/X,Obernai,unknown,CDI,,,senior,product_security,"Cybersécurité;IoT;IEC 62443;CRA;RED;EN 18031;ISO 27001","Pilotage conformité cybersécurité et protection des données pour produits et services connectés, avec audits, certifications et support aux équipes R&D/software.",https://careers.hager.com/fr/emploi/obernai/product-cybersecurity-manager-h-f-x/3352/39122956800,
Hager,Chef de projet AI & Data H/F/X,Obernai,unknown,CDI,,,senior,data,"Data;IA;RPA;Power Automate;Azure;AWS;GCP;Agile","Pilotage de projets Data & AI de l’idéation à la mise en production, structuration agile/hybride et accompagnement des solutions d’automatisation.",https://careers.hager.com/fr/emploi/obernai/chef-de-projet-ai-and-data-h-f-x/3352/38738622080,
Hager,Software QA Lead H/F/X,Obernai,unknown,CDI,,,lead,software_engineer,"Tests;Validation;Hardware;Software;Agile;Systèmes intégrés","Lead QA logiciel sur l’intégration et la validation de systèmes complexes, avec structuration des pratiques de test et résolution de problèmes techniques.",https://careers.hager.com/fr/emploi/obernai/software-qa-lead-h-f-x/3352/38585534528,
Hager,Engineering Architect H/F/X,Obernai,unknown,CDI,,,lead,industrial_software,"MQTT;CoAP;Modbus;BACnet;Matter;Zigbee;KNX;AWS;Azure;API REST;Edge;Cybersécurité","Architecture de solutions connectées pour energy management, smart home, building automation et e-mobility, avec vision end-to-end systèmes, cloud et edge.",https://careers.hager.com/fr/emploi/obernai/engineering-architect-h-f-x/3352/38613075072,
Viveris,Développeur C# .NET - finance - H/F,Strasbourg,hybrid,CDI,30000,50000,confirmed,backend,"C#;.NET;Angular;PHP;Java;Finance","Conception et développement d’applications e-banking pour moderniser et sécuriser l’expérience utilisateur dans le secteur finance.",https://www.viveris.fr/emplois/cdi-fr/422-422-fr/,2026-06-15
Viveris,Développeur Full Stack .NET H/F,Strasbourg,hybrid,CDI,35000,50000,confirmed,fullstack,"C#;.NET;Angular;SQL;Agile","Conception et développement d’applications .NET full stack pour projets de transformation digitale, avec analyse du besoin et participation aux choix techniques.",https://www.viveris.fr/emplois/cdi-fr/1682-1682-fr/,2026-06-15
CITECH,Développeur C# - Monétique & Réseaux de Paiement (H/F),Strasbourg,hybrid,CDI,40000,50000,confirmed,backend,"C#;.NET;SQL;Monétique;Middleware;Visa;Mastercard;CB;Git;CI/CD;Agile","Développement de composants C#/.NET pour traitements monétiques temps réel, routage, sécurisation des flux et interconnexion avec réseaux de paiement.",https://jobs.smartrecruiters.com/CITECH/744000131978136-developpeur-c-monetique-reseaux-de-paiement-h-f-,2026-06-12
CITECH,Analyste Développeur C# / SQL (H/F),Strasbourg,hybrid,CDI,37000,50000,confirmed,backend,"C#;SQL;PPM;DevOps;CI/CD","Analyse, développement et maintenance d’une solution PPM, avec interventions sur code, base SQL et pratiques de livraison.",https://jobs.smartrecruiters.com/CITECH/744000130536323-analyste-developpeur-c-sql-h-f-,2026-05-16
CITECH,Analyste Développeur C# - Parcours Digitaux & Souscription (H/F),Strasbourg,unknown,CDI,35000,50000,confirmed,backend,"C#;.NET;SQL;Assurance;Finance;Souscription;Agile","Conception et développement de parcours digitaux de souscription en C#/.NET pour applications critiques assurance, services et produits financiers.",https://jobs.smartrecruiters.com/CITECH/744000127371149-analyste-developpeur-c-parcours-digitaux-souscription-h-f-,2026-05-27
CITECH,Analyste Développeur C# - Gestion de Flux & Échanges de Données (H/F),Strasbourg,unknown,CDI,40000,50000,confirmed,backend,"C#;.NET Core;SQL Server;XML;REST;SOAP;Git;Azure DevOps;Jira;Batch;Legacy","Maintenance et évolution d’applications C#/.NET dédiées aux flux techniques et financiers, échanges partenaires, migrations et supervision production.",https://jobs.smartrecruiters.com/CITECH/744000129559259-analyste-developpeur-c-gestion-de-flux-echanges-de-donnees-h-f-,
CITECH,Analyste Développeur C# / DevOps CI/CD (H/F),Strasbourg,unknown,CDI,35000,45000,confirmed,devops,"C#;.NET;Git;GitLab;GitLab CI/CD;YAML;NuGet;DevOps;CI/CD","Évolution d’outils de développement et de chaînes d’industrialisation logicielle dans un environnement bancaire C#/.NET et GitLab CI/CD.",https://jobs.smartrecruiters.com/CITECH/744000130547160-analyste-developpeur-c-devops-ci-cd-h-f-,2026-06-06
Atos,Développeur C# / SQL confirmé - F/H - Strasbourg - CDI,Strasbourg,hybrid,CDI,35000,41000,confirmed,backend,"C#;SQL Server;Agile;CI/CD;DevOps","Développement et maintenance d’applications C#/SQL Server sur un projet long terme, avec revues de code, optimisation et accompagnement de profils juniors.",https://jobs.atos.net/job/Strasbourg-D%C3%A9veloppeur-C-SQL-confirm%C3%A9-FH-Strasbourg-CDI/1286132301/,2026-05-29
Atos,Consultant BI / Concepteur-Développeur Data H/F,Strasbourg,hybrid,CDI,38000,45000,confirmed,data,"SQL;ETL;Semarchy;Informatica;Business Objects;Qlik Sense;Vertica;Power AMC;Git;CI/CD","Analyse, développement et maintenance de flux décisionnels, ETL, modèles BI et optimisation de bases Vertica dans un cadre agile.",https://jobs.atos.net/job/Strasbourg-Consultant-BI-Concepteur-D%C3%A9veloppeur-Data-HF/1284270201/,2026-05-28
Groupe SII,Développeur .NET / C# Fullstack (F/H),Strasbourg,onsite,CDI,35000,46000,confirmed,fullstack,"C#;SQL;ASP.NET Core;MVC;JavaScript;TypeScript;Angular;React;VueJS","Développement fullstack .NET/C# pour applications métiers, avec conception, spécifications techniques, suivi projet et amélioration continue.",https://www.welcometothejungle.com/fr/companies/sii/jobs/developpeur-net-c-fullstack-f-h_strasbourg_GS_Gol4kkJ,
Groupe SII,Développeur C# - F/H,Strasbourg,onsite,CDI,34000,45000,confirmed,backend,"C#;.NET;ASP.NET;WPF;SQL","Développement C#/.NET d’applications métiers, avec conception, maintenance et amélioration continue en environnement projet.",https://www.welcometothejungle.com/fr/companies/sii/jobs/developpeur-c-f-h_strasbourg_GS_ZY4pd3L,
